泡泡	bubbles
浙江	Zhejiang (place); Zhejiang province (Chekiang) in east China, abbr. 浙, capital Hangzhou 杭州
程度 	degree; 
洗碗机	dishwasher
怕（动）	be afraid; fear; dread; 
分开翻译	Translate separately; 
消耗尽	to exhaust/use up; 
要不是	If not; if it were not for; but for
粤拼系统	Yue Pin System; 
猥琐	creepy; wretched (esp. appearance)/vulgar
虽说如此	having said that; 
情绪崩溃	emotional breakdown; 
挺（动）	stand; hold out; endure; stick out; 
一队士兵	a group of soldiers; 
别（动）	do not; leave; separate; pin; 
叫（动）	call; be called; 
当老师	to work as teacher; 
可比性	Comparability; 
前苏联	former Soviet Union
六尺三寸	six feet three inches; 
盔甲	armor; body armor and helmet
后端	back end; backend (computing)
伏笔	Foreshadowing; foreshadowing (literary device); foretaste of material to come (in an essay or story)
读硕士	study for a master; 
心不在焉	absent-minded; preoccupied; inattentive; with one's thoughts wandering
音阶	scale (musical); musical scale
共产党人	communist; 
橘猫	orange cat; 
零和社会	zero sum society; 
流浪汉	homeless person; tramp; wanderer
农民工	migrant workers; migrant worker (who moved from a rural area of China to a city to find work)
音节辅音	Syllabic consonant; 
个人收入	personal income; 
差不多高	about the same height; 
双唇音	bilabial sounds; bilabial consonant (b, p, or m)
师徒	master and apprentice/teacher and student; master and disciple
系鞋带	tie shoelaces; 
当做	as; to treat as; to regard as; to look upon as
海鲈	sea bass
才（名）	ability; talent; gift; endowment; 
毛（量）	a fractional unit of money in China (measure word); 
核心词	core words; 
让人讨厌	hateable; 
自由职业	Freelance; self-employed; profession
午夜	midnight
同一条街	same street; 
努力💪	Work hard 💪; 
化解灾难	resolve disaster; 
不能忘本	Don't forget your roots; 
安乐死	euthanasia
幸福阀值	happiness threshold; 
百科全书	encyclopedia; encyclopedia/CL:本[běn],集[jí]
腓尼基人	Phoenicians; 
恋亚癖	Yellow fever (fetish towards Asians); 
日益增长	growing day by day; 
庇护	asylum; shelter; to shield; to put under protection; to take under one's wing
美国大选	US election; 
他归罪我	He blamed me; 
应战	accept the war; to take up a challenge; to face an attack and meet it
一根手指	a finger; 
脚面	Instep; instep (upper surface of the foot)
主旋律	mainstream idea (that the gvt plays, that you have to go along with); (music) theme; principal melody/(fig.) central theme; main idea/(of a movie) created with the purpose of promoting Party values and point of view
流眼泪🥲	shed tears 🥲; 
叫外卖	Order takeout; 
连续性	continuum; continuity
像（动）	be like; resemble; look like; such as; 
威尔士	Wales; Wales, constituent nation of UK
摘眼镜	take off glasses; 
揣测	speculation; to guess; to conjecture
连词	conjunction
匿名	anonymous
演奏音阶	play a musical scale; 
数字劳工	digital labor; 
我为你好	I want the best for you; 
纸老虎	paper tiger
威尼斯	Venice; Venice/Venezia
无性恋	asexual; 
唇齿音	Labial and dental sounds; labiodental (e.g. the consonant f in standard Chinese)
任（连）	no matter (how, what, etc.); 
电脑科学	computer science; 
大不如前	Not as good as before; 
塞音	stop consonant; (linguistics) plosive; stop
电子痕迹	electronic traces (trail); 
归主	Return to the Lord (die?); 
甄嬛传	The Legend of Zhen Huan; 
乱象 	Chaotic; 
打勾☑️	Tick ​​☑️; 
招财猫	Lucky Cat; maneki-neko or "lucky cat", Japanese figurine cat usually found at the entrance of shops, restaurants etc, believed to bring good fortune
知识很广	Very broad knowledge; 
打工假期	working holiday; 
生（形）	unripe; green; living; raw; unfamiliar; 
平手	(sports) draw; tie
硅谷	Silicon Valley
莫言	Mo Yan; Mo Yan (1955-), Chinese novelist, winner of 2012 Nobel Prize in Literature
游牧民族	nomads; 
把（介）	(particle marking the following noun as a direct object); 
老（副）	always; constantly; 
痛（形）	sore; painful; sad; 
一拜天地	Pay homage to heaven and earth; 
弥赛亚	Messiah
慢热	Slow to warm up to sth (e.g. to a person in a relationship); slow to heat up/(fig.) (of a person) reserved; introverted; slow to develop relationships; (of a product etc) to take time to become popular; (sports) slow to reach peak performance
防火墙	firewall; firewall/CL:堵[dǔ]
全音	whole tone; whole tone (musical interval)
双性恋	bisexual; bisexuality
刻（量）	a quarter (of an hour); 
社会运动	social movement; 
知无不言	Tell everything you know (?); 
下地狱	Go to hell; 
批（量）	(measure word); 
欧楂变软	medlars becomes soft; 
体力活	physical work; 
讨吃的	Begging for food; 
学生贷款	student loans; 
咽化	Pharyngealization; 
印地语	Hindi; Hindi (language)
把（量）	(measure word); 
酸菜鱼	boiled fish with pickled cabbage; 
围墙	wall; perimeter wall; fence; CL:道[dào]
才（副）	only; just; 
刻（动）	carve; engrave; cut; 
让人困惑	confusing; 
负伤	wounded; to be wounded; to sustain an injury
高/ 矮	tall/short; 
牛（名）	cattle; ox; cow; 
按照要求	as required; 
正念	Mindfulness; correct mindfulness (Buddhism)
玳瑁猫	tortoiseshell cat; 
齿音	dental consonant
桂花	osmanthus ; osmanthus flowers/Osmanthus fragrans
纠正错误	correct errors; 
巧合	coincide; coincidence; coincidental; to coincide
语源学	etymology; 
双人床	double bed
金枪鱼	tuna
工作室	studio; workshop
牡蛎	oyster
罗兰巴特	Roland Barthes; 
水槽	sink
成（动）	become; finish; 
血清素	serotonin
皮划艇	canoe; kayak
面临情况	facing situation; 
公母	Male and female (of animals); 
抽样	sampling (e.g. sampling bias); sample; sampling
台湾	Taiwan
关（名）	pass; check point; customhouse; mechanism; barrier; 
标语	slogan; written slogan; placard; CL:幅[fú],张[zhāng],条[tiáo]
订阅	to subscribe; subscription; to subscribe to
插件	plug-in; plug-in (software or hardware)/to plug in a component
博士后	post doc; postdoc; a postdoctoral position
背（动）	carry on the back; shoulder; 
无花果	Fig; fig (Ficus carica)
平均身高	Average height; 
次货	Defective goods; inferior goods; substandard products
合肥方言	Hefei dialect; 
以父之名	in the name of the father; 
打（介）	from; since; 
近音	approximant; 
文艺复兴	Renaissance; the Renaissance
单人床	single bed; single bed/CL:张[zhāng]
用法更广	the usage is more general/broad; 
沪语	Shanghainese; Shanghainese/Shanghai dialect
特别漂亮	especially beautiful; 
土猫	native cat (e.g. the local variety); 
咽音	pharyngeal sounds; 
A变了	A has changed; 
全职	full time; full-time job
清蒸	steamed it with water; steamed in broth
安定下来	settle down; 
硬腭音	Palatal sound; 
赌输	lose at gambling; 
脚后跟	heel
天生贱胚	Born to be a jerk; 
可许证	Licensable; 
依附理论	attachment theory; 
汉藏语系	Sino-Tibetan language family
开心果	pistachio; pistachio nuts; fig. amusing person
街区	block/neighborhood; block; neighborhood
拿绿卡	Get a green card; 
擦音	fricative
不送气	tenuis; unaspirated
奴才样	slave-like (describing someone's attitude); slave-like; 
为（动）	act as; become; be; mean; 
50集	50 episodes; 
熟悉的人	familiar person; 
未分化	Undifferentiated; 
信（名）	letter; mail; faith; 
灵异经历	paranormal experience; 
创可贴	band-aid; sticking plaster
生火 	Make a fire; 
楔形文字	cuneiform; cuneiform (Babylonian script)
批（动）	criticize; batch; 
硕果累累	fruitful; heavily laden with fruit; fertile (of trees); many noteworthy achievements
多（副）	much more; far more; 
训诫	admonition(??); to reprimand; to admonish; to lecture sb
回（量）	(measure word); 
次（量）	(measure word for times, frequency); 
光是吃	only eat; 
头皮	scalp
西藏文化	tibetan culture; 
跨性别	transgender
大后天	the day after the day after tomorrow; The day after tomorrow; three days from now; day after day after tomorrow
默认	default; to agree tacitly; tacit approval; default (setting)
牛（形）	stubborn; brave; awesome; 
高/ 低	high/low; 
词语搭配	Word collocation; 
签（动）	sign; autograph; sign one’s name; 
测评	review/ assessment; to test and evaluate
跳下床	jump out of bed; 
净效应	net effect; 
连接的	connected; 
小舌音	uvular sound; 
冬眠	to hibernate; hibernation
羊绒	Cashmere; 
鱿鱼	squid
生词表	vocabulary list; 
跨学科	interdisciplinary
怕（副）	perhaps; afraid; 
玉米猪肉	Corn Pork; 
本来应该	should have been; 
唤醒	awakening; to wake sb; to rouse
陪家人	spend time with family; 
西式	Western; Western style
小调音阶	Minor scale; 
社会学	sociology
奴才斗胆	The servant dares; 
妈妈｜妈	mom; mother; 
料（名）	material; feed; stuff; grain; 
塔罗牌	tarot cards; 
上一节课	have a lesson; 
两（量）	a unit of weight (=50 grams); 
后三天	latter three days; 
威士忌酒	whiskey; whiskey (loanword)
命大	Luckily; lucky (to have escaped death or serious injury)
助学金	financial aid; student grant; education grant; scholarship
卷舌音	Retroflex sound; retroflex; 
机会降临	opportunity comes; 
气派宏伟	magnificent; 
李文月	Li Wenyue (teacher's name); 
卷发	curls; to curl hair
夺剑	Seize the sword; 
饥荒	crop failure; famine; debt; difficulty
副（量）	(measure word); 
500亿	50 billion; 
春困秋乏	Sleepiness in spring and fatigue in autumn; 
手语	sign language
实际来说	Practically speaking; 
有口音	Have an accent; 
近义词 	synonyms; 
戒毒	detoxification; to kick a drug habit; to abstain from drugs
广泛应用	widely used; 
核武器	nuclear weapon
挤喉音	ejective sound; 
抽大麻	smoke marijuana; 
分（动）	divide; part; distribute; 
缩写	abbreviation; to abridge
喂（动）	feed; 
散漫	flaky; undisciplined; unorganized
…分之…	fractional number; 
要（动）	want; 
一个顺序	a sequence; 
脱欧	Brexit; to withdraw from the European Union; abbr. for 脫離歐盟|脱离欧盟
川普	trump (informal); Sichuanese pidgin (the mix of Standard Mandarin and Sichuanese dialect)/(Tw) surname Trump
何必？	Why bother?; 
拜个师傅	learn from a master; 
杀死	kill; to kill
通读全文	Read the full article; 
断联系	disconnect; 
内爆音	implosion; 
永无止境	never ending; without end; never-ending
自然光	natural light; 
等（动）	wait; 
南京	Nanjing; Nanjing subprovincial city on the Changjiang, capital of Jiangsu province 江蘇|江苏/capital of China at different historical periods
知足 	contented; 
要（连）	if; 
日益减少	Decreasing; 
八爪鱼	octopus
他很准时	he is on time; 
花（动）	spend; expend; 
打哈欠	yawn; 
暖气片	Radiator; radiator (for heating)
鼻音化	nasalization; 
眼皮跳了	Eyelids twitched; 
局（名）	bureau; part; portion; innings; gathering; 
上天堂	go to heaven; 
罗锅	person who hunches over (was a person's name called Luoguo); to hunch one's back (coll.)/a hunchback
苍蝇	fly; housefly/CL:只[zhī]
经济学者	economist
搭嘴音	Click consonant; 
命（名）	life; order; fate; 
中庸之道	golden mean; doctrine of the mean; moderation in all things
贪钱 	greedy; 
过道 	corridor; 
照顾者	caregiver; 
不吉利	Unlucky; ominous
一段婚姻	a marriage; 
剑鱼	swordfish
符合要求	Meet the requirements (as a result); Meet the requirements; 
罗非鱼	Tilapia; 
符合逻辑	logical; 
辨音能力	Sound discrimination ability; 
深海鱼	deep sea fish; 
抢亲	marriage by capture; bride kidnapping
背（名）	back of the body; back side of an object; 
回见	See you later (beijing); See you later!
巡抚	Governor; inspector-general of province in Ming and Qing times
化解冲突	resolve conflicts; 
支（动）	put up; protrude; support; send away; 
短语 	phrase; 
绵羊	sheep
送气音	Aspirated consonant; 
尽管这样	in spite of this; 
鳗鱼	eel
大调音阶	Major scale; 
花（名）	flower; 
一票否决	One-vote veto; 
前些年	a few years ago; 
排（动）	arrange; put in order; exclude; rehearse; 
荒郊野里	In the wilderness; 
习得	acquire, learn; to learn; to acquire (some skill through practice); acquisition
弟弟｜弟	younger brother; 
落汤鸡	be caught in the rain and soaked through; a person who looks drenched and bedraggled; like a drowned rat; deep distress
雪糕	ice cream; ice cream bar; ice cream popsicle
虎妈	tiger mother; 
一段爱情	a love; 
黑天鹅	Black Swan; 
白（形）	white; 
阴谋论	conspiracy theory
相由心生	phase comes from the heart; 
麝牛	musk ox
水疗	water spa; hydrotherapy; aquatherapy
次（形）	second-rate; secondary; 
用进废退	Use it or lose it; 
播客	podcast; podcast (loanword)
下（量）	(measure word); 
火（名）	fire; anger; temper; 
毛（名）	a fractional unit of money in China; hair; fur; 
维他命	vitamin; vitamin (loanword)
下期	next issue; next period (week, month or quarter etc)
归属感	sense of belonging
火（形）	fiery; flaming; urgent; 
成（量）	(measure word); 
半音	semitone
生（动）	give birth; be born; 
椰枣	dates (european dates); 
厄瓜多尔	Ecuador
社会福利	social welfare; 
田野调查	fieldwork; 
挺（副）	very; quite; pretty; rather; 
表亲	cousin; cousin (via female line)
内华达	Nevada; Nevada, US state
回（动）	go back; return; 
一米六七	1.67 meters; 
淡水鱼	freshwater fish
手指交叉	cross one's fingers; 
算我一个	Count me in; 
平淡	flat; dull; ordinary; nothing special
肌酸	Creatine; 
库尔德语	Kurdish; 
大脑🧠	Brain 🧠; 
奴才	minion/flunkey/lackey; slave; fig. flunkey
睫毛	eyelash; eyelashes
活在当下	Living in the moment; 
换算	convert (between different measurements); to convert; conversion; (in accounting, referring to currency conversion) translation
学渣	slacker student; (coll.) unenthusiastic, mediocre student; underachiever
脚趾	toe
义乌	Yiwu (place); Yiwu, county-level city in Jinhua 金華|金华[jīn huá], Zhejiang
天津	Tianjin (city); Tianjin, a municipality in northeast China, abbr. 津
叫（介）	(preposition); 
首（量）	(measure word); 
发圈	scrunchy; 
元音	vowel
软腭音	velar consonant; (linguistics) velar consonant
数字经济	digital economy; 
声门音	glottal sound; 
他临死前	before he died; 
上传	upload; to upload
无思无想	no thoughts; 
宇宙飞船	UFO; spacecraft
自由恋爱	love marriage; 
性格特质	character trait; 
编程能力	Programming ability; 
乡土社会	rural society; 
数数	Count; to count; to reckon
印度神话	indian mythology; 
豌豆	pea; pea (Pisum sativum)
带货主播	Anchor with goods; 
再会	Goodbye (shanghai); to meet again; until we meet again; goodbye
花（形）	multicoloured; coloured; flowery; 
路人甲	a passerby/ an unimportant person; ordinary person A; generic person; some random person
尺度太大	too sexual or joking about serious matters; 
合肥话	Hefei dialect; 
拿走狗	take away the dog; 
站（名）	station; 
料（动）	expect; anticipate; guess; 
寄生虫🪱	Parasite 🪱; 
别（副）	Don’t; 
龙虾	lobster
名扬天下	Be famous all over the world; 
鲱鱼	herring
妹妹｜妹	younger sister; 
战绩累累	have a lot of war achievements; 
网球场	tennis court
内蒙古	Inner Mongolia; Inner Mongolia (abbr. for 內蒙古自治區|内蒙古自治区[nèi měng gǔ Zì zhì qū])
齿龈音	alveolar sound; alveolar, apical, or supradental sound (linguistics)
脑震荡	concussion; (med.) cerebral concussion
两（数）	two; 
鹰嘴豆粉	chickpea flour; 
泥板	clay tablet; 
消费享受	consumption enjoyment; 
长/ 短	long/short; 
机会成本	opportunity cost
好（副）	well; fine; okay; 
校友会	Alumni Association; 
米（名）	meter; rice; 
当爸爸	to be a dad; 
为（介）	(preposition); 
某事	something; a certain matter
打（动）	hit, take; 
对（形）	right; 
老（形）	old; aged; 
副（形）	secondary; auxiliary; subsidiary; 
小红书	little red book; 
前三天	first three days; 
易建联	Yi Jianlian (basketbal player who crossdresses); Yi Jianlian (1987-), Chinese basketball player for the New Jersey Nets (NBA)
不甚至	Not even; 
usb	USB; 
土（名）	soil; earth; land; ground; 
表里不一	Inconsistent; outside appearance and inner reality differ (idiom); not what it seems; saying one thing but meaning sth different
并（动）	combine; merge; incorporate; 
节（动）	economize; save; abridge; 
男性主导	male dominance; 
同质的	homogeneous; 
烧水	boil water; to heat water; to boil water
土著	indigenous; aboriginal
温差很大	big temperature difference; 
圣木	sacred wood/ palo santo; 
主修专业	Major; 
白菜猪肉	Pork with cabbage; 
审核	censorship; to audit; to investigate thoroughly
语系	language family
活在过去	live in the past; 
封（动）	seal; confer; envelop; 
这小滑头	This little rascal; 
刻板印象	stereotype
传统妻子	traditional wife; 
爸爸｜爸	dad; 
有局限	There are limitations; 
正（形）	straight; upright; positive; correct; main; 
换季	Season change; 
交友软件	dating app; 
眼熟	Looks familiar; familiar-looking; to seem familiar
月收入	monthly income
封（量）	(measure word); 
那（连）	then; in that case; 
隧洞	tunnel
定然	certainly; of course
好自为之	Take care of yourself; to do one's best; to shape up; to fend for oneself; you're on your own
打叉✖️	Cross ✖️; 
印欧语系	Indo-European language family; Indo-European family of languages
该（动）	deserve; should; owe; 
阶级	social class; (social) class/CL:个[gè]
发动战争	Wage a war; 
怪（动）	blame; 
白（副）	without results; in vain; waste efforts; 
一种直觉	A kind of intuition; 
商科	Business; business studies; Shangke corporation, PRC IT company (since 1994)
摔进	Fall in; 
盘腿坐	sit cross-legged; 
辅修专业	Minor; 
一段友谊	a friendship; 
谨言慎行	Be cautious in your words and deeds; 
食道癌	esophageal cancer
正（副）	just; exactly; 
密集训练	intensive training; 
内耗	internal friction; internal dissipation of energy (in mechanics); fig. waste or discord within an organization
支（量）	(measure word); 
命案	murder, homicide; homicide case; murder case
新能源车	New energy vehicles; 
三月六号	March 6th; 
哥哥｜哥	elder brother; 
首（名）	head; leader; chief; aspect; 
闪音	tap/flap sound; 
有思想	profound; 
宾语	object; object (grammar)
解聘	to fire someone; to fire; to dismiss an employee; to sack
因纽特人	inuit; 
暖气机	radiator; heater
很难说	hard to say; 
天干地支	Heavenly stems and earthly branches; 
本（量）	(measure word for books or volumes); 
分析案例	Analysis case; 
会（动）	can; be able to; 
参议员	senator
符合标准	Meet standards; to comply with a standard; standards-compliant
梵语	Sanskrit; Sanskrit (language)
报（名）	newspaper; periodical; journal; report; telegram; 
小篆	Xiaozhuan; the small or lesser seal, the form of Chinese character standardized by the Qin dynasty
好（形）	good; 
头（形）	lead; head; 
掉头发	hair loss; 
打钩	Tick / checkmark; to tick; to check; tick mark; check mark
拉肚子	have diarrhoea; (coll.) to have diarrhea
上线	to launch online; to go online; to put sth online
沉浸式地	immersively (e.g. language learning); 
情感勒索	emotional blackmail; 
鳟鱼	trout
有要事	Something important; 
唇音化	labialization; 
占有欲	Possessive; 
一米九	1.9 meters; 
姐姐｜姐	elder sister; 
预想到	expected; 
鲟鱼	sturgeon
街区 	neighborhood; 
鼻炎	rhinitis
共产主义	communism
两-三年	Two to three years; 
关（动）	shut; close; turn off; 
没电🪫	No battery🪫; 
抽样偏见	sampling bias; 
比目鱼	halibut; flatfish; flounder
驼背	hunchbacked; stooping; hunchback
年收入	annual income
俄语	Russian; Russian (language)
精神内耗	mental friction; 
鳕鱼	cod
站（动）	stand; stop; halt; 
香蕉蛞蝓	banana slug; 
评测	evaluation; 
任（动）	appoint; assign; 
尖脸 	sharp face; 
独角鲸	Narwhal; narwhal (Monodon monoceros)
墨鱼	cuttlefish
一毒攻毒	One poison to fight poison; 
省（动）	economize; save; omit; leave out; 
变性	to denature; denaturation; to have a sex change; transsexual
米（量）	meter; 
绩点	GPA; (education) grade point
负债累累	Heavy in debt; deep in debt
局（量）	(measure word); 
式体验	experience; 
光线很强	The light is very strong; 
