半年	bànnián	Half a year
为了	wèile	for/ in order to
新鲜感	xīnxiāngǎn	freshness (newness?)
伸懒腰	shēnlǎnyāo	stretch one's back
打八折	dǎ bāzhé	20 % off
乐观	lèguān	optimistic
行星	xíngxīng	planet
祖宗	zǔzōng	ancestors
优惠券	yōuhuìquàn	coupon
陌生人	mòshēngrén	stranger
接受	jiēshòu	accept
一首诗	yīshǒu shī	A poem
市场	shìchǎng	market
图瓦人	túwǎ rén	Tuvans
强令	qiánglìng	to force (sm to do smth)
道家	dàojiā	taoist philosophy
骨肉	gǔròu	孩子/“flesh and blood”
形容词	xíngróngcí	adjective
岁数	suìshu	age
她对我工作有很重要的影响	tā duì wǒ gōngzuò yǒu hěn zhòngyào de yǐngxiǎng	She has a very important impact on my work
省略号（……）	shěnglüèhào （   ）	ellipses
判断	pànduàn	judge? judgment?
寿命	shòumìng	life expectancy
人才	réncái	Talent
摇摆舞	yáobǎiwǔ	Swing dance
松鼠🐿️	sōngshǔ 🐿 ️	Squirrel 🐿 ️
感应器	gǎnyìngqì	sensor
成人	chéngrén	adult
依附关系	yīfù guānxi	dependence
总的来说	zǒngdeláishuō	In general
适应	shìyìng	adapt
嘹亮	liáoliàng	loud and clear
热情	rèqíng	warm-hearted/ passionate/ enthusiastic
缺点	quēdiǎn	shortcoming
振动	zhèndòng	vibration
动词	dòngcí	verb
师父	shīfu	master (e.g. of martial arts)
祖传秘方	zǔchuánmìfāng	a secret ingredient/ cooking method Handed down from one's ancestors
闪婚	shǎnhūn	engaged
伤口	shāngkǒu	Wound
冒险	màoxiǎn	adventure
西方	xīfāng	The west
收到礼物/ 快递	shōudào lǐwù /   kuàidì	Receive gifts/ packages
跟一位我们共同的朋友约会	gēn yīwèi wǒmen gòngtóng de péngyou yuēhuì	Dating with a friend of us
一会儿	yíhuìr	for a short period of time
黄金法则	huángjīn fǎzé	the Golden Rule
与其...不如...	yǔqí ... bùrú ...	How about .... instead of...?
子女	zǐnǚ	child
骨肉相连	gǔròuxiānglián	telepathic because of kinship
家人们	jiā rénmen	family/ an endearment to address an audience
尊重	zūnzhòng	respect
怀疑	huáiyí	Suspect
到底+question word	dàodǐ + question   word	what/ who/ where etc + on earth?
病床	bìngchuáng	hospital bed, sickbed
承诺书 	chéngnuòshū  	Commitment
邮箱	yóuxiāng	Mail
恒星	héngxīng	star (恒=永远的，不变的，不动的)
心心相印	xīnxīnxiāngyìn	heart to heart
人们	rénmen	people
时薪	shíxīn	Hourly salary
成熟	chéngshú	Mature
人生意义	rénshēngyìyì	Meaning of life
双胞胎	shuāngbāotāi	twin
嬉皮士	xīpíshì	hippie
胡言乱语 	húyánluànyǔ  	crazy and unfounded ramblings, incoherent speech
至少	zhìshǎo	At least
时间限制	shíjiān xiànzhì	time limit
非洲舞	fēizhōu wǔ	African dance
发生矛盾	fāshēng máodùn	Conflict
困难	kùnnan	difficulty
永远	yǒngyuǎn	forever
剪羊毛	jiǎnyángmáo	to shear sheep
感动	gǎndòng	moved/ touched
祝福	zhùfú	bless
舔	tiǎn	lick
己所不欲，勿施于人	jǐsuǒbùyù, wùshīyúrén	"Do unto others as you would have them do unto you (欲=想，勿=不要，施=to act on，于=对)"
流星	liúxīng	meteor
一代人/ 几代人	yīdàirén /   jǐdàirén	people of one generation/ a couple of generations
法官判决	fǎguān pànjué	judge's decision
截图	jiétú	screenshot
跟一个朋友说话	gēn yīgè péngyou shuōhuà	Talk to a friend
加班费	jiābānfèi	Overtime fee
有效果	yǒu xiàoguǒ	effective
舞蹈课	wǔdǎo kè	dance class
咪雅	mīyǎ	Miya (cat)
年龄	niánlíng	age
泛音唱法	fànyīn chàngfǎ	overtone singing
薅羊毛	hāo yángmáo	get the best deal
你与其每天不高兴，还不如做做让你开心的事情。	nǐ yǔqí měitiān bù gāoxìng, hái bùrú zuòzuò ràng nǐ kāixīn de shìqing.	Instead of being unhappy every day, you might as well do things that make you happy.
打广告	dǎguǎnggào	to advertise
判了一个案子	pàn le yīgè ànzi	Judging a case
圣经	shèngjīng	Bible
傻逼	shǎ bī	dumbass
闪离	shǎnlí	breaking off an engagement(?)
母子一场	mǔzǐ yīcháng	mother-son scene
名胜古迹	míngshènggǔjì	places of interest, historical sites and scenic spots
周年纪念	zhōuniánjìniàn	Anniversary
中风	zhòngfēng	stroke
弦	xián	string (of a musical instrument)
容忍（坏的东西）	róngrěn （ huài de dōngxi ）	tolerate
祖先	zǔxiān	ancestors
足够的时间	zúgòu de shíjiān	Enough time
亲情	qīnqíng	family love/ kinship
似乎	sìhū	seem
荆棘	jīngjí	thorns, thorny
包括你说的	bāokuò nǐ shuō de	Including what you say
你缺什么	nǐ quēshíme	What are you missing
谁都不用见	shéi dōu bùyòng jiàn	Don't have to see anyone
拒绝	jùjué	reject
咬	yǎo	bite
