好的	OK
礼拜天	Sunday
流利	fluent
总是	always
律师	lawyer
会员	member
公众	public
化石	fossil
孤儿	orphan
老是	always
网上	online
复活节	Easter
精力	energy
街头	street
有用	useful
动脉	artery
人们	people
慢慢	slowly
瑞典	Sweden
凉鞋	sandal
领袖	leader
一棵树	a tree
一场雨	A rain
一场雪	A snow
校园	campus
一万	10,000
信号	signal
一顿饭	a meal
球拍	racket
酸奶	yogurt
抽屉	drawer
一条鱼	a fish
胆小鬼	coward
岛屿	island
连帽衫	hoodie
夏季	summer
歐楂	medlar
污水	sewage
一张纸条	a memo
一个梗	a meme
监狱	prison
小扁豆	lentil
氧气	oxygen
心水	salary
中等	medium
赌场	casino
一个湖	A lake
清真寺	mosque
穆斯林	Muslim
棉花	cotton
以色列	Israel
蜘蛛	spider
配偶	spouse
舞蹈家	dancer
乞丐	beggar
强奸犯	rapist
贪心	greedy
俄罗斯	Russia
贪钱	greedy
神殿	shrine
隧道	tunnel
面筋	gluten
麸质	gluten
犹太洁食	kosher
主教	bishop
狭窄	narrow
虚荣	vanity
旋律	melody
液体	liquid
预算	budget
枕头	pillow
殖民地	colony
语法	grammar
百分之	percent
已经	already
被动	passive
找到	to find
车辆	vehicle
出租	to rent
面条	noodles
天气	weather
下雨	to rain
卡拉OK	Karaoke
一张照片	a photo
海鲜	seafood
打印机	printer
网站	website
公民	citizen
公式	formula
一只眼睛	one eye
周末	weekend
歌唱	to sing
一件衬衫	a shirt
急忙	hastily
听到	hear
听见	hear
加热	heat
蛋白质	protein
户外	outdoor
灯笼	lantern
极端	extreme
地质	geology
混乱的	chaotic
一个想法	idea
孔雀	peacock
利润	profits
纠纷	dispute
没用	useless
无怒如何	anyways
打字	type
非法	illegal
飞跃	leap
肥沃	fertile
疫苗	vaccine
气球	balloon
俘虏	captive
下雪	snow
一场比赛	match
一场考试	exam
一列火车	train
一把刀	knife
一把椅子	chair
一张桌子	table
失去	lose
一篇日记	diary
惭愧	ashamed
停下	stop
一条蛇	snake
台风	typhoon
T恤	t-shirt
完美	perfect
住房	housing
一棵植物	plant
甜品	dessert
天然	natural
顽皮	naughty
维生素	vitamin
反义词	antonym
学者	scholar
晓得	to know
遇见	to meet
沿海	coastal
小清新	hipster
中性	neutral
战术	tactics
哭泣	to weep
大洋洲	Oceania
祝愿	to wish
爱尔兰	Ireland
捆绑	to bind
物理	physics
山顶	hilltop
同义词	synonym
埋葬	to bury
放牛	to herd
冰川	glacier
耐用	durable
插头🔌	charger
卡通片	cartoon
屏障	barrier
一栋房子	a house
羞愧	ashamed
强奸	to rape
毛毯	blanket
卖艺	to busk
人质	hostage
圈内人	insider
生态	ecology
村子	village
丹麦	Denmark
诉讼	lawsuit
统统	totally
文凭	diploma
指南针	compass
令人激动	exciting
看电视	watch TV
不用	need not
猫粮	cat food
毕业生	graduate
明天	tomorrow
物料	material
女儿	daughter
本能	instinct
跳舞	dance
房东	landlord
得分	score
购物	shopping
工业	industry
互联网	Internet
进去	go in
室友	roommate
键盘	keyboard
假期	vacation
月亮	moon
浪漫	romantic
佛教	Buddhism
红酒	red wine
海水	seawater
航空	aviation
公主	princess
汽油	gasoline
海浪	sea wave
大意	careless
诞辰	birthday
间接	indirect
盗窃	steal
可靠	reliable
酒鬼	drunkard
千克	kilogram
栗子	chestnut
压力	pressure
奶茶	milk tea
在一起	together
宗教	religion
范畴	category
蓝天	blue sky
肩膀	shoulder
英俊	handsome
预报	forecast
明日	tomorrow
流汗	sweat
覆盖	cover
打鼾	snore
上去	go up
如同	like
一件外套	jacket
欺负	bully
药店	pharmacy
实力	strength
音节	syllable
功效	efficacy
共和国	republic
台上	on stage
掉东西	drop sth
书柜	bookcase
山坡	hillside
站住	stand
途中	en route
长裤	trousers
外交官	diplomat
食欲	appetite
走进	enter
一对情侣	A couple
生肉	raw meat
吸烟	smoke
触手	tentacle
华丽	gorgeous
温和	lukewarm
荒凉	desolate
头疼	headache
热可可	hot coco
消费者	consumer
杏仁膏	marzipan
讥笑	sneer
网页	web page
惊悚片	thriller
笑声	laughter
硬件	hardware
月球	moon
西兰花	broccoli
一道	together
仪式	ceremony
纽约	New York
一同	together
界限	boundary
音乐家	musician
湾区	bay area
珍贵	precious
众多	numerous
战略	strategy
可行	feasible
词汇表	glossary
矿产	minerals
临床	clinical
照常	as usual
吓我一跳	scare
呕吐	vomit
绦虫	tapeworm
料子	material
圈外人	outsider
浪漫的	romantic
地标	landmark
浴袍	bathrobe
亭子	pavilion
威望	prestige
文献	document
直径	diameter
忠实	faithful
罪犯	criminal
冰激凌	ice cream
被告	defendant
去年	last year
出去	to go out
昨天	yesterday
不停	incessant
宠物	house pet
一节课	one class
不值	not worth
背叛	betrayal
次要	secondary
说错	mispeak
东亚	East Asia
乘客	passenger
蓝莓	blueberry
煎鸡蛋	fried egg
东北	northeast
东南	southeast
辞职	resignation
公里	kilometer
补救	remedy
此次	this time
爱说话	talkative
盒子	box
今年	this year
一张图片	a picture
豪华	luxurious
苍白	pale
忘记	forget
赌博	gambling
酱油	soy sauce
明年	next year
世界杯	World Cup
戴口罩	wear mask
男朋友	boyfriend
跟随	follow
美丽	beautiful
好运	good luck
上次	last time
有美感	aesthetic
古典	classical
坏习惯	bad habit
极其	extremely
海湾	bay
渐渐	graudally
下次	next time
堤坝	dam
脚印	footprint
工作计划	work plan
通勤	commuting
上周	last week
恶化	worsen
考场	exam room
百度地图	Baidu map
秘书	secretary
空军	air force
挺好	very good
进这里来	come here
西北	northwest
西南	southwest
民主	democracy
时区	time zone
辐射	radiation
下周	next week
抢救	rescue
有毒	poisonous
红肉橙	cara cara
释迦果	Cherimoya
热水	hot water
降落伞	parachute
童年	childhood
打喷嚏	sneeze
地理	geography
天文	astronomy
噩梦	nightmare
后勤	logistics
软化	soften
火药	gunpowder
牛角包	croissant
单词卡	flashcard
民法	civil law
水很深	deceiving
形容词	adjective
没事了	nevermind
志愿者	volunteer
劳驾	excuse me
心水很高	well-paid
逐渐	gradually
影星	film star
游人	tourist
佩服	admire
宇航员	astronaut
家庭教育	parenting
助理	assistant
庭院	courtyard
自愿	voluntary
澳大利亚	Australia
扩充	expand
蜻蜓	dragonfly
里程碑	milestone
礼节	etiquette
早点	breakfast
领事馆	consulate
领土	territory
犹太会堂	synagogue
冒犯	offend
基督徒	Christian
前排	front row
巴勒斯坦	Palestine
扶手电梯	escalator
蟑螂	cockroach
频率	frequency
有效果	effective
没效果	no effect
瀑布	waterfall
有出息	promising
一台手机	One phone
好莱坞	Hollywood
筛选	filter
忘性很大	forgetful
绅士	gentleman
阿根廷	Argentina
通货膨胀	inflation
相差	differ
崭新	new
庄稼	crop
半决赛	semifinals
必将	inevitably
出生	born
不免	inevitably
排队	line up
弹钢琴	play piano
到处	everywhere
两年后	in 2 years
大海	sea
你身边	around you
单调	monotonous
加州	California
昌盛	prosperous
地震	earthquake
春季	springtime
车展	motor show
出版	publish
煮鸡蛋	boiled egg
厨师	chef
大奖赛	grand prix
放音乐	play music
进来	come in
诞生	born
楼下	downstairs
撤退	retreat
多媒体	multimedia
零下	below zero
儿科	pediatrics
烤鸭	roast duck
一共	altogether
高价	high price
个体	individual
控制	control
女朋友	girlfriend
毫米	millimeter
毫升	milliliter
呼吸	breathe
广阔	wide
全部	whole
他们	they
主观	subjective
纪律	discipline
程序员	programmer
导航	navigation
北方人	Northerner
南方人	Southerner
监测	monitor
离婚	divorce
学习计划	study plan
厘米	centimeter
东岸	east coast
西岸	west coast
收到	receive
轮椅	wheelchair
要是	if
谷歌地图	Google Map
它们	they
南极	south pole
询问	inquire
一再	repeatedly
上个月	last month
如下	as follows
诗人	poet
舒适	cozy
西柚	grapefruit
池塘	pond
伤口	wound
长大	grow up
双手	both hands
四周	all around
随后	soon after
中年	middle age
卫衣	sweatshirt
一台电脑	computer
一对一	one on one
喉咙	throat
下个月	next month
相比	compare
唯一	only
化肥	fertilizer
效率	efficiency
真实	real
平底煎锅	frying pan
践踏	trample
一代	generation
冷笑话	joke
搬到	move
校外	off campus
指甲	fingernail
再那块儿	over there
南极洲	Antarctica
懒惰	lazy
祖国	motherland
抢工作	steal jobs
良心	conscience
密封	seal
枪击案	shooting
百分比	percentage
气色	complexion
洽谈	discuss
尖脸	sharp face
日常生活	daily life
敲字	type
药妆店	Drug store
一幅画	painting
山寨品	fake goods
生理	physiology
火警	fire alarm
镇静	calm
半年	half year
悲观	pessimistic
比如说	for example
别的	other
潮湿	damp
薄弱	weak
不在乎	not care
做好	finish well
干净	clean
刮风	windy
地毯	carpet
记得	remember
生病	fall ill
蒸鸡蛋	steamed egg
理论上说	technically
国籍	nationality
果汁	fruit juice
队员	team member
大厅	hall
此事	this matter
加油站	gas station
数学	mathematics
柴油	diesel
分类	classify
分离	separate
信用卡	credit card
隔开	separate
迟疑	hesitate
电子表格	spreadsheet
脆弱	weak
旅游计划	travel plan
塑料袋	plastic bag
待办事项	to-do items
陡峭	precipitous
全体	entire
打游戏	play a game
惊人	astonishing
立即	immediately
性别	gender
发财	get rich
开通	open-minded
坐下	sit down
夏令营	summer camp
手臂	arm
闹钟	alarm clock
样式	style
坟墓	grave
期末	end of term
油炸	deep fry
馒头	steamed bun
拼写检查	spell check
一架飞机	airplane
一楼	first floor
一把伞	umbrella
接她下班	pick up
从商	do business
工位	workstation
树叶	tree leaves
这次爬山	hiking
体重	body weight
灌溉	irrigate
岁月	years
太空	outer space
天然气	natural gas
系列	series
亚运会	Asian Games
乌云	black cloud
X以上	more than X
坚硬	hard
整整	whole
简化	simplify
犹豫	hesitate
泡茶	make tea
诊断	diagnose
园地	garden area
局部	part
刊物	publication
考古	archaeology
菜市场	food market
空白	blank space
口腔	oral cavity
风铃	wind chimes
思想开放	open-minded
白塔	White tower
中东	Middle East
一家三口	family of 3
让人分心	distracting
收起来	put away
气味	odor
奢侈品	luxury
溶解	dissolve
新西兰	New Zealand
乡郊野外	countryside
揉面团	knead
坍塌	collapse
水龙头	faucet
天主教	Catholicism
性丑闻	scandal
寻觅	look for
挣扎	struggle
主权	sovereignty
自发	spontaneous
冰雪	ice and snow
付钱	pay
道歉	apologize
非常欢迎	welcome
但是	however
固定搭配	collocations
心理状态	mental state
并非	really isn't
风险	risk
二十年	twenty years
鼓励	encourage
回到	return to
当天	the same day
发怒	get angry
发言人	spokesperson
法庭	court
你们	you (plural)
国庆	National Day
前男友	ex-boyfriend
爱干净	neat freak
港口	port
艾特	at symbol
别的事情	other things
蓝色	blue
成年人	adult
交费	pay a fee
稍微	a little
宏大	great
庆祝	celebrate
看成	regard as
丢人	lose face
全家	whole family
独裁	dictatorship
老婆	wife
暖心	heartwarming
德国猪肘	Schweinhaxen
葡萄酒	wine
盲人	blind person
愿望	desire
面对面	face to face
秋季	autumn
拿走	take away
电动汽车	electric car
陪同	accompany
平方米	square meter
一条裙子	dress
散文	prose
企业家	entrepreneur
一点点	a little bit
摄像	videotape
吃的	food
缺陷	defect
能力很差	poor ability
热水器	water heater
人权	human rights
正是	precisely
棒球棒	baseball bat
时节	season
航天	space flight
组长	group leader
司长	bureau chief
西部	western part
太阳能	solar energy
熟成	ripe
没那么乱	not so messy
胸部	chest
火焰	blaze
外头	outside
杏仁糊	almond paste
芝麻糊	sesame paste
爱情片	romance
刑法	criminal law
仅仅因为	only because
加剧	intensify
共同爱好	mutual hobby
共同敌人	mutual enemy
一带	region
小于	less than
写字台	writing desk
薪水	salary
原料	raw material
僵硬	stiff
古罗马	ancient Rome
角落	nook
阶层	social class
口头	oral
种种	various
牢固	firm
灵魂	soul
勉励	encourage
打印出来	print it out
后排	back row
租房子	rent a house
最低工资	minimum wage
直男	straight guy
迫害	persecute
一套房子	an apartment
旗帜	flag
内在美	inner beauty
对…敏感	sensitive to
缺席	absent
养老院	nursing home
柔和	gentle
撒谎	tell lies
时代广场	Times Square
开派对	have a party
堕落天使	fallen angel
事项	matter
书籍	books
挑剔	picky
芥菜种	mustard seed
家族	family
投降	surrender
种姓制度	caste system
推翻	overthrow
座右铭	motto
有面子	proud
宝宝	baby
北部	northern
小费	tip
长途	long distance
公斤	kilogram
从而	thus
米饭	rice
火车站	train station
登机牌	boarding pass
过去	(verb suffix)
车主	vehicle owner
长假	vacation
动画片	animated film
休息	rest
车牌	license plate
快乐	happy
国际	international
古代	ancient
皮鞋	leather shoes
大米	rice
大赛	contest
过去	(verb suffix)
好久	quite a while
陈旧	old-fashioned
生日卡	birthday card
过去	(verb suffix)
钱包	wallet
千与千寻	Spirited Away
岗位	job
公鸡	rooster
我不确定	uncertain
汇率	exchange rate
赔偿	compensate
肌肉	muscle
打猎	hunting
核心	core
名单	list
洪水	flood
健全	robust
机动车	motor vehicle
生动	vivid
做好工作	do well
大便事项	poop items
工作顺利	work smoothly
朗读	read aloud
着火	catch fire
旅行社	travel agency
男子	man
看管	look after
南部	southern
没想到	didn't expect
考题	exam question
谷歌点评	Google Review
女子	woman
休息室	lobby
清晨	early morning
奶粉	powdered milk
如今	nowadays
难忘	unforgettable
送她回家	send her home
为她想	think for her
高楼大厦	tall building
搜索引擎	search engine
在街上	on the street
拉丁美洲	Latin America
向我跑来	running to me
飯制	fan-made
急救箱	first-aid kit
特价	special price
越来越	more and more
省钱	save money
市民	city resident
死亡	die
又爱又恨	love-hate
投票	vote
学分	course credit
学年	academic year
“照骗”	catfish photo
网吧	Internet café
急剧	rapid
吸毒	take drugs
戏曲	Chinese opera
共同朋友	mutual friend
共同生活	live together
戒指	ring
心脏病	heart disease
远处	distant place
口音	accent
流泪	shed tears
公厕	public toilet
挣钱	make money
缘故	reason
晕车	carsick
周期	period
生活习惯	living habits
北美洲	North America
南美洲	South America
邮差	postman
军事基地	military base
垄断	monopolize
遛狗	walk a dog
社会问题	Social Issues
推开门	open the door
日食	solar eclipse
秘密武器	Secret weapon
参加活动	attend events
清澈	clear
过分了	go too far
情理	reason
视线	line of sight
合唱团	chorus
新教	Protestantism
喜悦	joyous
愚蠢	silly
元首	head of state
壮烈	brave
办事处	office
悲伤	sorrowful
迟到	late
本事	ability
到他跟前	walk up
长城	Great Wall
唱歌	sing
变为	change into
传真	fax
财富	wealth
彩票	lottery
匆忙	hasty
残酷	cruel
差距	disparity
迸发	burst forth
对我很好	treats me well
成效	effect
纯净水	purified water
炒鸡蛋	scrambled eggs
地铁站	subway station
手控	manual control
多数	majority
传言	rumor
回家	return home
说真话	tell the truth
的确	indeed
开车	drive
花钱	spend money
减肥	lose weight
或许	perhaps
插座	socket
隔夜燕麦	overnight oats
简直	simply
法制	French-made
印度菜	Indian cuisine
丰收	bumper harvest
握手	shake hands
飞行员	pilot
迟缓	slow
峰会	summit
一双眼睛	pair of eyes
父子	father and son
更是	even more
其次	next
机器人	robot
脚步	footstep
家园	home
讲课	teach
节假日	public holiday
球鞋	athletic shoes
联合国	United Nations
玩具	toy
繁忙	busy
美金	US dollar
钥匙	key
也许	perhaps
相似	similar
男士	man
培训班	training class
流感	flu
平稳	smooth
勇气	courage
元旦	New Year's Day
作者	author
主题	theme
上楼	go upstairs
深厚	profound
起点	starting point
石油	oil
扇子	fan
睡着	fall asleep
操心	worry about
古董	curio
乳制品	dairy products
山谷	valley
怎样	how
数目	amount
伤员	wounded
通知书	notice
深深	profound
生日聚会	birthday party
果断	decisive
海滨	seaside
泰国	Thailand
题材	subject
没礼貌	impolite
轮滑	roller skating
阳台	balcony
严厉	severe
细胞	cell
支付	pay
简要	brief
用来	used for
古希腊	ancient Greece
资金	funds
再也	(not) any more
之内	within
健身房	gym
职能	function
中毒	poisoned
宽敞	spacious
疼爱	love dearly
黎明	dawn
接待客人	receive guests
少数族裔	minority
一年四季	all year round
忙碌	busy
气候变化	climate change
疲倦	tired
张个儿	grow taller
股票跌了	stock fell
乱象	chaos
输入密码	enter password
散布	disseminate
山脊	ridge
日剧	Japanese drama
游乐园	amusement park
温带	temperate
嗅觉	smell
血压	blood pressure
舆论	public opinion
招标	invite bids
主义	-ism
办学	run a school
奥秘	secret
叉子	fork
常用	common usage
场所	location
残疾人	disabled person
充电器	battery charger
初级	junior
健康	healthy
窗帘	window curtains
留学	study abroad
方便面	instant noodles
空气	air
公平	fair
大脑	brain
寒假	winter vacation
豆腐	tofu
操练	practice
低温	low temperature
坚强	strong
歌迷	fan
中国菜	Chinese cuisine
篮球队	basketball team
饮料	beverage
高铁	high speed rail
和平	peace
列车	train
丑恶	ugly
船舶	shipping
雌雄	male and female
次序	sequence
我睡了	sleep
获奖	win
国歌	national anthem
圣诞快乐	Merry Christmas
过后	after
趋势	trend
明星	celebrity
适合	suit
难看	ugly
顺序	order
平等	equal
年末	end of the year
快活	happy
金钱	money
泪水	teardrop
这边	here
日报	daily newspaper
相同	same
酒水	beverage
就算	even if
美好	beautiful
美女	beautiful woman
农民	farmer
名片	card
字面意思	literal meaning
强烈	intense
打开窗子	Open the window
丰盛	sumptuous
亲密	intimate
咨询室	Consulting room
一把钥匙	A bunch of keys
一条裤子	a pair of pants
商标	trademark
公道	fair
清洁	clean
收费	charge
步骤	procedure
迟早	sooner or later
山峰	peak
板棍	stick
图案	design
柔道棕带	Judo brown belt
集训课	Training
下面	boil noodles
农贸市场	farmer's market
花蕾	bud
向前	forward
招待客人	treat guests
一方面	on the one hand
基因	gene
物品	goods
细菌	bacterium
蜜月期	honeymoon phase
慢性病	chronic disease
赢得	win
有限	limited
写字楼	office building
泡面	instant noodles
翻译笔	translation pen
基佬	gay guy
零件	part
远远	distant
欧元	euro
梳子	comb
最终	final
中美洲	Central America
最后一秒	the last second
辽阔	vast
生活质量	Quality of Life
美满	happy
执照	license
展示能力	Display ability
瑜伽	yoga
偏差	deviation
偏见	prejudice
品德	moral character
造句	sentence-making
高颧骨	high cheekbones
咬肌	masseter muscle
抢劫	robbery
村里	village
清晰	clear
深情厚谊	deep friendship
外行	layman
蔚蓝	azure
乌黑	jet-black
物资	goods
欣慰	gratified
刑事	criminal
遥远	distant
衣裳	clothes
英明	wise
债券	bond
种族	race
百分点	percentage point
闭幕式	closing ceremony
不要	don't
边境	border
拨打	call
感兴趣	interested
大多数	majority
厂长	factory director
边界	boundary
促销	promote sales
动物园	zoo
好听	pleasant
此时	now
赶快	quickly
动人	touching
胆小	timid
负责人	person in charge
低于	lower than
加班	overtime
嘈杂	noisy
地下室	basement
好事	meddlesome
法官	judge
阅读	read
都市	city
正式	formal
高温	high temperature
诚挚	sincere
办签证	visa application
中文	Chinese language
请进	please come in
感人	touching
免费	free
过于	excessive
脱帽子	take off the hat
华语	Chinese language
孤独	lonely
里头	inside
火腿	ham
气氛	atmosphere
技巧	skill
海外	overseas
合约	contract
驾照	driver's license
权力	power
炒蔬菜	fried vegetables
感恩节	Thanksgiving
紧紧	closely
近来	recently
开幕式	opening ceremony
手工	handwork
客户	client
快递	express delivery
丝绸	silk
杜绝	put an end to
人数	number of people
脸色	complexion
完整	complete
逻辑	logic
看得见	visible
意大利面	spaghetti
永远	forever
依然	still
迫切	urgent
旅店	inn
期中	midterm
接电话	answer
墨水	ink
前方	ahead
收益	earnings
公关	public relations
冷萃咖啡	cold brew
适用	applicable
神情	look
天气预报	weather forecast
规章	rule
国防	national defense
图画	drawing
识字	learn to read
种菜	plant vegetables
糖果	candy
下楼	go downstairs
化妆	put on makeup
天堂	paradise
外币	foreign currency
应当	should
望见	espy
急切	eager
西班牙语	Spanish language
依旧	as before
一辈子	lifetime
小麦	wheat
用途	use
简陋	simple
月底	end of the month
焦急	anxious
原有	original
紧迫	urgent
音量	volume
资产	assets
靠拢	draw close
恳切	earnest
雷达	radar
胃口	appetite
罪恶	evil
作战	combat
汉族	Han
原版	original
凄凉	desolate
坐牢	imprisoned
人手不足	short-handed
敏感话题	sensitive
让你退学	drop out
审理	hear
声誉	reputation
视力	vision
洗手液	liquid soap
律法	laws
教会	Church
往常	usual
委员	member
文雅	elegant
畜牧	animal husbandry
学说	theory
样品	sample
犹如	similar to
宇宙	universe
嘴唇	lip
作息	work and rest
昂贵	expensive
比例	proportion
悲惨	tragic
常常	frequently
偶遇	chance meeting
小时	hour
妻子	wife
羊肉	mutton
大夫	doctor
短信	text message
长久	long-term
没关系	it's okay
游泳	swimming
带领	lead
漂亮	pretty
财务	financial
爆款	hot item
地带	zone
课文	text
司机	driver
燕麦粥	oatmeal
经济	economy
紧急	urgent
谨慎	cautious
那里	there
法语	French
观看	watch
助手	assistant
高跟鞋	high-heeled
吃苦	bear hardships
辣椒	hot pepper
一副眼镜	glasses
崇高	majestic
连忙	promptly
柜子	cupboard
日期	date
国王	king
然而	however
旅客	traveler
拿到	get
患者	patient
难题	difficult problem
绘画	draw
紧密	close
鼠标	mouse
口袋	pocket
危险	danger
旅馆	hotel
绝大多数	vast majority
反常	unusual
一群人	group of people
勇敢	brave
方言	dialect
脖子	neck
拍照	take a picture
胖子	fat person
骗子	swindler
粉末	powder
频繁	frequently
身份证	ID
座位	seat
群体	community
姿势	posture
字幕	subtitle
扶手	handrail
上涨	rise
尷尬癌	embarrassment
事实	fact
公务	official business
时常	often
益虫	beneficial insect
日语	Japanese
怎么办	what to do
躲起来	hide
球棍	club
过滤	filter
时时	often
罕见	rare
送礼	give a present
特大	exceptionally big
新郎	bridegroom
现状	current situation
贿赂	bribe
邮件	mail
医疗	medical treatment
言语	speak
以内	within
香菜籽	coriander seeds
由此	hereby
民国时期	Republic of China
冷淡	indifferent
原理	principle
一行	delegation
英雄	hero
精确	accurate
优质	excellent quality
敬礼	salute
自治县	autonomous
钟头	hour
文化冲突	cultural conflict
立交桥	overpass
放烟花	set off fireworks
粤菜	Cantonese cuisine
好的关系	good relationship
全局	overall
坦然	calm
触动神经	strike a nerve
画画	draw
呻吟	moan
垫子	cushion
三文鱼	salmon
饲养	raise
索取	ask
挺拔	tall
团圆	reunion
微观	micro-
乡镇	village
摘要	summary
战役	campaign
支流	tributary
做主	handle
小时候	childhood
把手	handle
打扫	clean
学校	school
保姆	nanny
不再	no longer
打折	discount
悲哀	sorrowful
不仅仅	not only
水果	fruit
衬衣	shirt
涂防晒霜	sunscreen
敌人	enemy
儿童	child
多亏	thanks to
打破	break
学习	learn
大型	large
聊天	chat
船只	ship
海洋	ocean
护士	nurse
单一	single
裁缝	tailor
一般来说	generally
价格	price
来到	arrive
动机	motive
头发	hair
动画	animation
华氏度	Fahrenheit
符号	symbol
那边	over there
拥抱	embrace
招手	wave
有名	famous
公告	announcement
自己	oneself
女票	girlfriend
歌词	lyrics
号召	call
合并	merge
能干	capable
摧残	ravage
过新年	celebrate
打扫	clean
手机应用	mobile app
小朋友	child
火箭	rocket
伤害	harm
我都喜欢	I like all
类似	similar
人口	population
羡慕	envy
相反	opposite
二氧化碳	carbon dioxide
漫长	long
门诊	outpatient
面子	powder
防御	defense
皮包	handbag
疫情	epidemic
培育	train
抽象意思	figurative
运气	luck
敲门	knock
一部电影	movie
干旱	drought
心里	mind
专家	expert
忍受	bear
宫殿	palace
求职	employment
英文	English
英语	English
试图	attempt
雇佣	employ
棍棒	club
推销	market
薯片	chips
水泥	cement
仅供参考	reference
违反	violate
花瓣	petal
相互	mutual
文艺	literature
聖誕趴	Christmas party
荒谬	absurd
辉煌	splendid
先前	before
新型	new type
学时	class hour
演技很好	good acting
外观	appearance
协议书	contract
外资	foreign investment
印刷	printing
凶手	murderer
选拔	select
词根	root
缴纳	pay
结局	conclusion
足够	enough
珍珠	pearl
真理	truth
之外	outside
吃素	vegetarian
欧盟	EU
占据	occupy
卡通	cartoon
知名	famous
政府干部	government officer
柱子	pillar
专用	special
冷酷	callous
人情美	humanity
小柴胡	medicine
山脚	foot
聋哑	deaf
掠夺	plunder
主流文化	mainstream
密度	density
电子产品	electronic
敏锐	keen
眼影盘	eye shadow
拿手	expert
剧透	spoiler
一般就说	generally
蜘蛛网	cobweb
圈套	trap
擅自	without permission
才华	talent
有市场	popular
金门大桥	Golden Gate Bridge
审判	trial
省会	provincial capital
实质	substance
野兽	beast
双胞胎	twin
司令	commander
天赋	gift
无非	only
谢绝	refuse
寓言	fable
真挚	sincere
嘱咐	urge
按摩	massage
百货	general merchandise
封印	seal
写完作业	finish homework
不能不	have to
采纳	accept
当时	at once
欢迎	welcome
硬核	hardcore
独特	unique
对待	treat
法院	court
冬天	winter
到达	arrive
离开	depart
隔壁	neighbor
船员	sailor
小言	romantic fiction
短裤	short pants
鼓掌	applaud
好像	seem like
才干	ability
瓶子	bottle
当年	that year
大道	main street
大批	large quantities
等级	grade
世界	world
慌张	flustered
降落	descend
地名	place name
干吗	why
坏人	villain
举办	to hold
熊猫	panda
反抗	rebel
老虎	tiger
拿去	to get for others
购买	purchase
力气	strength
父女	father and daughter
充沛	abundant
顾问	adviser
后年	the year after next
请坐	please, have a seat
眉毛	eyebrow
暖和	warm
入口	entrance
森林	forest
好似	seem
青春	youth
剪刀	scissors
八宝汤	Eight treasure soup
如何	how
软件	software
具有	have
神秘	mysterious
星期日	Sunday
星期天	Sunday
孙子	grandson
看出	make out
乐观	optimistic
输入	import
还没想好	haven't decided yet
秋天	autumn
预习	prepare a lesson
列为	classify as
政治	politics
开头	beginning
系统	system
抗议	protest
香肠	sausage
模范	model
虚心	humble
天上	celestial
允许	permit
陆军	army
只要	if only
夏天	summer
强迫	force
奶牛	dairy cow
晴朗	sunny
身高	height
如此	like this
一件衣服	clothing
沙漠	desert
收音机	radio
升高	raise
银行卡	bank card
彩虹	rainbow
丧失	lose
藏起来	hide
听众	audience
水灾	flood
设计师	designer
器材	equipment
中心	center
周年	anniversary
同行	journey together
同一	identical
悔恨	remorse
选手	athlete
途径	way
迅速	rapid
化学	chemistry
危机	crisis
刷剧	binge-watch
许可	allow
摇头	shake head
一句话	in short
拥有	have
有着	have
羽绒服	down-filled
搅拌	stir
侥幸	luckily
重量	weight
陌生	strange
越南	Vietnam
职位	position
