271	iQiyi
不服来战	come and fight if not convinced
业界良心	industry conscience
丧心病狂	deranged
中央空调	ladies' man
主角光环	main character's halo
亲测有效	tested and effective
人生赢家	winner in life
人设已崩	image ruined
以梦为马	dream as a horse
低分飘过	narrowly pass with a low score
先马后看	bookmark for later
公开处刑	public penalization
刮锅底笑	Wallace Chung's laugh
单身​狗	single dog
可以说是	it can be said that
可盐可甜	cool and imposing as well as gentle and adorable
吃瓜群众	peanut gallery
国民老公	national husband of China
土味情话	cheesy pick-up lines
地表最强	the strongest on the face of the earth
外貌协会	good-looks club
大猪蹄子	undesirable man
太阳女神	Goddess Sun
好奇宝宝	Curious baby
妖艳贱货	Pretty and coquettish
干得漂亮	Well done
床上运动	Sexual intercourse
微博沦陷	Weibo account inundated
总攻本攻	Attack all around
怼天怼地	Lash out fearlessly
我想静静	I want some quiet time
战斗民族	The fighting nation
打哈欠	Yawning
扶我上墙	Help me get onto the wall
抗日神剧	Epic dramas
招黑体质	Criticism-inducing
放飞自我	Behave with abandon
教科书般	Textbook
普天同庆	Celebrating together
暗中观察	Observe furtively
暴露年龄	Give away one’s age
朝阳群众	People of Chaoyang District
机智如我	Witty like me
槽点满满	Full of problems
母职惩罚	Mother’s role punishment
求锤得锤	Demand proof
洗脑神曲	Brainwashing epic song
灵魂舞者	Soul dancer
点赞之交	Click like acquaintances
猪精女孩	Pig spirit girl
王之蔑视	The King’s contempt
生无可恋	Nothing left to live for
用力过猛	Use too much strength
盛世美颜	Incredibly gorgeous
目测要火	Will go viral
相爱相杀	Love-hate relationship
神经病啊	Neurotic
科学上网	Surf the web scientifically
粉丝滤镜	Fan filter
累觉不爱	Disenchanted with sth
细思恐极	Think carefully to the extreme
网瘾少女	Internet addiction
老鹿蹒跚	reluctant
职业假笑	insincere smile
脑子瓦特	damaged
自带滤镜	beautiful
自戳双目	appalling
蓝瘦香菇	sad
解锁技能	learn
诗和远方	inner peace
贵圈真乱	scandalous
过气网红	former celebrity
送你上墙	approval
钢铁直男	unempathetic
镇魂女孩	fans
霸气侧漏	domineering
霸道总裁	overbearing
颜值巅峰	attractive
颜值爆表	cute
颜即正义	appearance
风骚走位	flirtatious
饭随爱豆	similar
马路杀手	poor driver
高光时刻	glamorous
黑人问号	perplexed
