临	face
册	book
毁	destroy
膊	shoulder
猛	ferocious
犬	dog
沾	moisten
拦	block
执	execute/grasp
塔	pagoda
支	support
喂	feed
售	sell
工	work
碾	grind
禽	birds
腔	cavity
承	bear
范	pattern
扮	disguise
式	type
睁	open
寻	search
累	accumulate
廊	corridor
舶	ship
偶	pair
桥	bridge
迟	late
杯	cup
摧	break
跑	run
壶	pot
次	next
慕	admire
尾	tail
骤	sudden
狱	prison
埋	bury
心	heart
思	think
胎	fetus
巢	nest
嫖	visit a prostitute
丝	silk
暴	violent
汹	torrential
焰	flame
琢	cut
性	nature
萄	grape
讨	demand
获	obtain
刚	hard
鸦	crow
踢	kick
杂	mixed
娘	mother
灾	disaster
稠	dense
并	and
晃	dazzle
漠	desert
撒	let go
圣	holy
噪	chirp
头	head
秋	autumn
囧	emoticon
辕	cart
睬	pay attention
惕	fearful
洞	cave
莓	berry
熏	smoke
察	examine
带	carry
蝴	butterfly
景	scenery
辟	king
烁	bright
灯	lamp
鐵	iron
哪	which
稚	infantile
俱	all
哑	mute
马	horse
疗	treat
俗	custom
种	seed
胁	flank
洛	Luo
播	sow
帖	paste
曝	air
吞	swallow
显	visible
寡	few
肪	fat
免	excuse
誉	praise
核	nucleus
烫	scald
胆	courage
门	gate
求	seek
杰	hero
离	leave
令	order
撸	rub
技	skill
培	cultivate
排	arrange
璃	glaze
屿	islet
艇	vessel
辫	braid
铺	store
缺	lack
茄	eggplant
税	taxes
譬	example
隘	narrow
枝	branch
接	receive
瑰	extraordinary
粒	grain
揭	expose
疯	insane
旁	side
彰	clear
咽	throat
控	control
紊	disorderly
溶	dissolve
奈	frustration
督	supervise
防	defend
耀	brilliant
殃	calamity
摔	fall
拱	surround
哺	feed
跨	straddle
饭	meal
嗦	suck
痕	traces
书	book
驳	refute
界	boundary
则	standard
爽	invigorating
礼	ceremony
呢	particle
肩	shoulder
拒	resist
膨	swollen
啊	interjection
贵	expensive
衣	clothes
椒	pepper
肺	lung
宏	magnificent
谋	plan
眠	sleep
听	listen
偏	lean
澈	clear
乘	ride
畅	smooth
混	mix
霑	undefined
何	what
电	electricity
间	between
裙	skirt
孙	grandson
肌	muscle
附	attach
别	leave
鼻	nose
毛	hair
妇	woman
姥	grandma
汉	Chinese
灶	kitchen
赌	gamble
蹒	hobble
歪	askew
耕	plow
善	good
步	step
今	now
脏	dirty
捉	grab
碳	carbon
疼	hurts
酬	reward
唠	chatter
煎	pan fry
菜	vegetable
砂	sand
瓦	roof tile
衷	feelings
会	can
挣	struggle
从	from
通	through
您	you
狼	wolf
律	law
斧	hatchet
尬	embarrassing
懂	understand
肉	meat
捡	pick up
弥	full
纬	latitude
橡	oak
它	it
购	buy
啤	beer
扛	carry
佳	beautiful
歐	Europe
跃	jump
涨	rise
柬	Cambodia
打	beat
荣	glory
赚	earn
戾	ruthless
撤	remove
徒	apprentice
挤	squeeze
荤	non-vegetarian
注	annotate
萎	wither
榨	press
扁	flat
仅	only
旨	purpose
苏	revive
铅	lead
握	hold
牲	domestic animal
裕	abundant
咖	coffee
嗨	hey
骚	disturb
针	needle
寒	cold
碗	bowl
放	release
重	heavy
无	not have
老	old
毫	least
筒	tube
籍	registry
戳	poke
愿	wish
逝	pass away
侨	emigrant
雌	female
拐	turn
两	two
荷	lotus
凰	phoenix
格	frame
晤	meet
垮	collapse
公	public
拟	imitate
释	release
宁	peaceful
啃	gnaw
霜	frost
屉	drawer
健	healthy
司	manage
痛	pain
份	gift
衅	quarrel
锦	brocade
温	warm
御	to govern
盖	cover
爷	grandpa
腻	greasy
浑	muddy
知	to know
噩	startling
米	rice
捏	to pinch
须	must
贿	bribery
上	above
邻	neighbor
凉	cool
痹	paralysis
殊	different
坛	altar
代	generation
刘	surname Liu
浅	shallow
凹	concave
布	cloth
葬	to bury
赠	to give
帮	to help
竞	compete
货	goods
持	to hold
富	rich
尼	Buddhist nun
相	appearance
车	car
图	picture
母	mother
帅	commander
扭	to twist
尤	outstanding
侄	nephew
鸽	pigeon
模	imitate
蠢	stupid
绣	embroider
犯	violate
抵	press against
奔	hurry
硬	hard
辆	vehicle
挚	sincere
婊	prostitute
昧	conceal
伍	associate
驶	go fast
顿	stop
趴	lie on stomach
咪	meow
蓬	disheveled
椎	hammer
朴	simple
浓	concentrated
嚏	sneeze
陈	stale
碰	touch
逼	compel
亮	bright
集	gather
丘	mound
衍	spread out
期	period
齿	tooth
玛	agate
尴	awkward
诗	poem
差	difference
咳	cough
嗔	angry
婆	grandmother
久	long time
袍	gown
沛	abundant
岭	mountain range
责	responsibility
莲	lotus
姆	tutor
享	enjoy
伙	companion
归	return
俊	handsome
涮	rinse
者	one who
医	medicine
余	surplus
炎	inflammation
传	transmit
联	unite
妙	wonderful
瑜	excellence
尿	urine
产	produce
伯	elder
疲	weary
鱼	fish
弟	younger brother
堡	castle
却	however
地	-ly
诬	accuse falsely
粑	cake
髦	fashionable
铸	cast
小	small
忧	worry
泣	sob
帘	curtain
互	mutual
棕	palm
销	melt
梗	block
口	mouth
慈	compassionate
阶	stairs
虏	prisoner
拳	fist
脸	face
浴	bath
案	case
效	effect
硕	large
愚	stupid
貌	appearance
第	grades
惰	lazy
哈	infatuated
镇	to subdue
仔	young
愁	worry
游	to roam
前	front
荒	desolate
话	conversation
厦	tall building
漆	paint
北	north
透	penetrate
细	fine
荜	bean
瞒	conceal
龚	surname
妖	goblin
净	clean
段	section
过	to pass
桑	mulberry
浏	clear
棋	chess
纳	receive
仓	granary
柔	soft
豪	grand
眼	eye
耸	towering
均	equal
泄	leak
擦	rub
允	permit
啬	stingy
黎	Li ethnic group
延	prolong
火	fire
植	plant
拘	capture
臭	stench
署	office
刊	publish
计	calculate
店	shop
阿	Afghanistan
陋	plain
球	ball
闪	dodge
咙	throat
卧	lie
坚	strong
跳	jump
润	moist
倦	tired
抽	draw
辅	assist
牢	firm
描	depict
霞	sunset
稀	rare
伶	actor
崇	esteem
姐	older sister
窗	window
氧	oxygen
空	empty
勤	diligent
极	extreme
悠	leisurely
宇	universe
射	shoot
融	melt
凤	phoenix
舆	carriage
属	belong
鹅	goose
偷	steal
记	record
还	still
照	shine
晨	morning
身	body
渡	cross
噜	grumble
留	leave
舟	boat
哎	hey
交	hand over
也	also
宙	eternity
弧	arc
蔚	luxuriant
牙	tooth
史	history
逃	escape
侈	extravagant
验	examine
但	but
综	synthesize
阴	overcast
匹	mate
婚	marry
得	obtain
巧	skillful
款	funds
策	policy
敌	enemy
咆	roar
睦	amicable
败	defeat
政	political
煌	brilliant
瞄	take aim
院	courtyard
芯	pith
籽	seeds
海	ocean
喻	describe
走	walk
贩	trade
皇	emperor
木	wood
捎	deliver
催	urge
仍	still
终	end
尽	exhaust
涉	wade
挖	dig
祝	pray
槽	trough
那	that
检	check
再	again
尔	thus
迁	move
稍	somewhat
勿	do not
毯	blanket
赋	taxation
赴	attend
亭	pavilion
拄	lean on
预	advance
征	journey
钞	money
觅	seek
汁	juice
雷	thunder
岳	mountain peak
活	live
辙	rut
况	moreover
湾	bay
星	star
遇	encounter
浊	turbid
岔	fork
劫	rob
换	exchange
适	fit
屋	house
脆	brittle
钻	drill
拗	bend
访	visit
谴	censure
消	diminish
睛	eye
迹	footprint
竟	unexpectedly
楚	clear
梁	roof beam
航	navigate
沼	pond
说	speak
憋	choke
管	control
昔	former times
冰	ice
蝶	butterfly
儿	person
烟	smoke
绸	silk
梯	ladder
贬	diminish
背	back
湖	lake
南	south
泳	swimming
碍	hinder
楼	building
搬	move
骨	bone
里	inside
土	earth
沃	fertile
傲	proud
蚂	insect
趁	take advantage
鞭	whip
宽	wide
采	pick
恕	forgive
且	and
氓	common people
缀	combine
清	clear
宝	treasure
本	origin
功	achievement
巨	huge
娶	marry
弱	weak
桃	peach
饰	decoration
阐	express
咯	cough
顺	obey
弄	manage
劈	chop
劝	advise
远	far
鲜	fresh
颈	neck
铃	bell
楂	hawthorn
什	assorted
辞	resign
吐	vomit
澳	bay
拙	awkward
短	short
闺	boudoir
狮	lion
市	market
速	fast
困	trap
暂	temporary
锋	spearhead
崖	cliff
等	wait
账	account
衡	weigh
姓	surname
稳	steady
怠	idle
耍	play
围	encircle
讶	astounded
历	history
帽	hat
抱	hold
琴	musical instrument
澄	clear
确	authenticated
咨	consult
织	weave
瞬	wink
塞	stop up
直	straight
而	and
宠	love
红	red
器	device
伴	partner
叨	garrulous
辱	disgrace
搅	disturb
糯	glutinous
斤	catty
秘	secret
职	office
套	cover
躺	recline
企	anticipate
阳	positive
查	research
埃	dust
朋	friend
瓜	melon
送	send
熄	extinguish
滥	overflowing
苗	sprout
墓	grave
够	enough
质	character
叼	hold with mouth
力	power
窄	narrow
踩	step on
熊	bear
熬	boil
捕	catch
兄	elder brother
杆	pole
猴	monkey
将	will
克	overcome
福	good fortune
伐	cut down
辰	5th earthly branch
逆	oppose
庙	temple
瑟	harp
剑	sword
读	read
拧	pinch
杭	Hangzhou
诧	surprised
玉	jade
婷	graceful
汰	discard
做	make
兼	double
串	string together
十	ten
欧	Europe
尝	taste
都	capital city
屑	bits
精	essence
分	divide
农	agriculture
幕	curtain
咸	salty
嫉	jealousy
跚	used in 蹣跚
皮	leather
假	fake
穿	wear
衰	decline
五	five
提	carry
顶	top
惊	startle
哼	groan
池	pond
氪	krypton
普	general
捐	donate
构	construct
齐	even
妈	mom
癌	cancer
惩	punish
绎	interpret
盼	hope
博	ample
祈	pray
字	letter
尺	ruler
捣	pound
月	moon
厉	strict
惨	miserable
狭	narrow
炫	dazzle
以	to use
韧	tough
变	change
挠	scratch
旋	whirl
妥	suitable
谍	spy
扎	tie
至	arrive
钥	key
贺	congratulate
继	continue
烂	rotten
滔	deluge
溺	drown
悚	frightened
崩	collapse
掘	dig
拯	aid
忍	bear
裂	split
抛	throw
肆	unrestrained
昂	lift
鉴	reflect
闷	stuffy
伦	human relationship
垫	pad
栏	fence
雅	elegant
肾	kidney
钉	nail
摆	arrange
关	close
四	four
蛛	spider
他	he
停	stop
祥	auspicious
辩	dispute
唤	call
弃	abandon
谜	riddle
财	money
钱	coin
优	excellent
窃	steal
候	wait
要	demand
奶	breast
唯	only
迦	phonetic
荡	wash
僻	remote
聪	clever
蹄	hoof
果	fruit
饲	raising
灭	extinguish
因	cause
脖	neck
袖	sleeve
山	mountain
枉	unjust
花	flower
举	lift
颧	cheek bones
牛	ox
及	and
啦	exclamation
致	send
遗	leave behind
嵌	inlay
奏	play music
蹋	step on
棍	stick
周	circuit
叙	narrate
可	can
谤	slander
覆	cover
滴	drop
最	most
馒	steamed bun
情	feelings
欺	deceive
晚	evening
吉	lucky
示	show
望	hope
泻	flow out
共	share
和	together
类	type
充	fill
三	three
础	foundation
语	language
填	fill
幻	fantasy
擎	hold up
汽	steam
泛	flood
奸	wicked
邮	mail
出	go out
匙	spoon
漫	unrestrained
镶	inlay
役	forced labor
媳	daughter-in-law
州	province
娇	lovable
宜	suitable
建	establish
孤	lone
夺	seize
座	seat
坏	bad
蹲	crouch
补	repair
饪	cook
导	lead
约	approximately
娱	amuse
狂	mad
钝	blunt
洁	clean
即	prompt
借	borrow
波	wave
合	join
扔	throw
椭	ellipse
引	to draw
戒	to guard
爬	to crawl
吵	to quarrel
饮	to drink
圈	to encircle
幽	remote
穆	solemn
寸	inch
助	to help
址	site
隔	to separate
侃	cheerful
窜	to flee
煞	fiend
摘	to pick
英	hero
经	classics
睡	to sleep
载	to carry
状	state
亚	Asia
掀	to lift
糟	ruined
滞	sluggish
是	to be
潮	tide
编	to weave
簸	to winnow
柿	persimmon
辜	crime
译	to translate
掩	to cover
诸	all
塌	to collapse
佣	commission
局	narrow
惯	accustomed
比	to compare
截	cut off
些	some
虑	consider
白	white
芒	awn
匀	even
卖	sell
休	rest
薄	thin
明	bright
纲	guiding principle
链	chain
故	reason
恋	love
西	West
妆	makeup
徘	pacing
潇	clear
愤	indignant
砸	smash
域	region
呵	my goodness
盲	blind
臂	arm
习	practice
扇	fan
乌	crow
居	reside
佩	wear
油	oil
件	item
袋	pouch
欲	desire
遥	distant
绪	beginnings
勺	spoon
壳	shell
殿	palace hall
想	think
醋	vinegar
输	to lose
肠	intestines
吊	to suspend
折	to break
社	society
环	ring
突	sudden
万	ten thousand
箱	box
搀	to assist
蟑	cockroach
谢	thank
呕	vomit
廉	honest
捷	quick
饺	dumplings
男	male
盯	to watch
晒	to dry
翅	wing
开	to open
摩	to rub
惜	to cherish
碑	monument
郊	suburbs
彼	that
治	to rule
呼	to call
箭	arrow
芹	celery
喧	clamor
移	to move
区	area
轮	wheel
怨	resentment
诱	to entice
雀	sparrow
酿	to ferment
淹	to flood
到	to reach
战	fight
铲	shovel
结	knot
庆	celebrate
俭	frugal
革	leather
年	year
茫	vast
姿	appearance
扶	support
议	comment
猾	sly
按	press
颖	clever
卡	block
筹	plan
诈	cheat
插	insert
丑	ugly
伪	fake
数	count
党	party
犀	rhinoceros
侧	side
拌	mix
嗅	smell
章	chapter
弦	string
纵	vertical
渐	gradually
沧	vast
践	tread
起	rise
甲	first
讳	avoid
险	danger
闭	close
冬	winter
镜	mirror
眶	eye socket
渔	fisherman
搏	fight
叒	obedient
丐	beg
罩	cover
煮	cook
撇	fling
慧	intelligent
霍	suddenly
币	money
艘	ship
泪	tears
幼	young
甜	sweet
歌	song
蕉	banana
孝	filial piety
剩	remain
初	beginning
萃	collect
晰	clear
有	have
敏	quick
倘	if
夸	boast
牧	herd
入	enter
旱	drought
限	limit
绑	tie
王	king
鄙	rustic
咋	how
试	test
好	good
嘱	enjoin
诞	birth
瀑	waterfall
筛	sieve
豆	bean
曲	tune
拉	pull
递	deliver
绅	gentry
诉	complain
紧	tight
了	finish
世	world
恰	exactly
展	spread
滩	beach
斯	this
惠	kindness
赁	rent
烧	burn
材	material
痪	illness
骂	scold
嗓	throat
凭	rely
夜	night
金	gold
藏	conceal
美	beautiful
谦	modest
符	symbol
边	border
艾	mugwort
恼	angry
酥	flaky
宣	declare
屡	repeatedly
枣	jujube
军	army
堆	pile
染	dye
刻	carve
超	exceed
贪	greedy
我	I
仿	imitate
疤	scar
己	self
朝	court
钢	steel
瓶	bottle
缴	hand in
席	mat
就	just
竹	bamboo
舔	lick
摄	absorb
色	color
牵	lead
誓	oath
掐	pinch
羊	sheep
巾	towel
默	silent
薯	potato
搜	search
猝	abruptly
吻	kiss
磋	polish
坞	dock
剖	cut open
舰	warship
蚁	ant
绝	extinct
帐	curtain
孩	child
咐	instruct
蹭	rub against
夏	summer
介	between
挡	obstruct
暖	warm
燥	dry
倾	lean
郑	Zheng
脊	spine
距	distance
瘤	tumor
树	tree
寺	temple
票	ticket
调	adjust
连	link
稼	sow
委	entrust
瞧	look
河	river
啥	what
民	people
部	department
酗	drunk
予	give
恳	earnest
酌	deliberate
杉	China fir
竭	exhaust
静	quiet
逐	pursue
熙	bright
亦	also
飞	fly
披	drape
泽	pond
刺	thorn
穷	poor
奠	fix
寿	long life
究	investigate
价	price
增	increase
愣	distracted
脂	fat
泡	bubble
羽	feather
偿	repay
逊	modest
坡	slope
忘	forget
哨	sentry
怎	how
体	body
揍	hit
叉	fork
捞	fish up
蚀	nibble
狈	wretched
只	only
刹	temple
喜	happy
蔓	creeper
泉	spring
点	point
伽	phonetic
止	stop
告	announce
贝	cowrie
促	hasten
贸	commerce
讼	litigation
褂	garment
组	group
剥	peel
缠	wind around
瑞	lucky
错	mistake
首	head
唐	Tang dynasty
菇	mushroom
蹬	to step on
哥	elder brother
丙	third
蹈	to tread
谱	chart
辛	hot
趟	trip
迪	to enlighten
污	dirty
樱	cherry
易	easy
付	to pay
用	to use
页	page
李	plum
垃	garbage
言	words
劲	strength
虐	oppressive
德	virtue
急	urgent
循	to follow
名	name
条	strip
惹	to provoke
疏	sparse
翼	wing
希	hope
删	to delete
招	to recruit
辑	to gather
谈	to speak
画	to draw
演	to perform
杜	to stop
葛	kudzu
胶	glue
莱	weed
渺	vast
警	alert
壮	strong
冤	injustice
加	add
患	suffer
哒	clatter
钓	fish
缸	jar
献	offer
满	full
糖	sugar
参	participate
津	Tianjin
屈	bent
腊	dried meat
看	look
蘇	no definition found
需	require
鼾	snore
新	new
跟	follow
浇	pour
略	brief
命	fate
蜓	dragonfly
梦	dream
敞	spacious
庞	huge
表	show
珍	treasure
挽	pull
赤	red
达	attain
鞋	shoe
糕	cake
矩	rule
于	to
瞻	gaze
怜	pity
苹	duckweed
趣	interesting
才	talent
涵	contain
杖	staff
剁	chop
戏	drama
墅	villa
搓	rub
费	expenses
丁	male adult
斜	inclined
葡	Portugal
诫	commandment
兴	rise
请	ask
安	calm
笨	stupid
雇	employ
饶	rich
甘	sweet
矿	mineral
键	key
悦	pleased
呈	present
后	behind
磁	magnetic
赖	depend
翔	soar
疫	epidemic
息	cease
深	deep
人	person
逛	stroll
城	city
盛	hold
怒	anger
炒	stir-fry
勃	thrive
派	group
劉	surname Liu
乡	hometown
帆	sail
糙	rough
千	thousand
许	allow
固	solid
扯	pull
柱	pillar
系	connect
苦	bitter
势	power
肘	elbow
狡	cunning
炼	refine
发	send
榜	announcement
侵	invade
收	receive
墙	wall
凡	ordinary
存	exist
危	danger
茴	fennel
法	law
鼓	drum
成	succeed
殖	grow
童	child
识	know
压	press
淋	sprinkle
罐	jar
室	room
已	already
赂	bribe
掌	palm
团	round
嫌	dislike
该	should
越	exceed
拽	drag
园	garden
蹦	jump
韭	leek
谣	rumor
领	lead
阂	obstruct
亡	die
酝	brew
启	open
蕴	accumulate
推	push
原	original
赢	win
蜡	candle
处	reside
研	study
退	retreat
宿	lodge
拨	push
鸣	make a sound
刑	punishment
掏	fish out
吩	instruction
膝	knee
片	slice
护	protect
瞪	stare
遵	observe
罪	guilt
妄	absurd
皂	soap
绒	velvet
肢	limb
磨	rub
若	like
淘	wash
题	question
逻	patrol
如	as
业	occupation
报	report
回	return
谁	who
蜂	bee
董	supervise
冲	dash
寄	send
涩	astringent
奴	slave
络	net
装	adornment
裹	wrap
药	medicine
内	inside
句	sentence
屏	reject
坐	sit
弊	fraud
雾	fog
衔	hold
繁	complicated
徊	wander
铜	copper
括	enclose
伟	great
实	real
奇	odd
旗	flag
云	cloud
个	individual
晴	clear
爆	explode
骄	proud
振	shake
梳	comb
迈	stride
妒	envy
灰	ash
录	record
托	entrust
官	official
作	do
脾	spleen
似	resemble
拿	hold
定	fix
宪	constitution
凸	protruding
颂	praise
侥	luck
悲	sadness
搞	do
诶	hey
洋	foreign
来	come
赏	reward
床	bed
猫	cat
叕	join
