毛巾	máojīn	/towel/CL:條|条[tiao2]/
失败	shībài	/to be defeated/to lose/to fail (e.g. experiments)/failure/defeat/CL:次[ci4]/
失望	shīwàng	/disappointed/to lose hope/to despair/
师傅	shīfu	/master/qualified worker/respectful form of address for older men/CL:個|个[ge4],位[wei4],名[ming2]/
十分	shífēn	/very/completely/utterly/extremely/absolutely/hundred percent/to divide into ten equal parts/
实际	shíjì	/reality/practice/practical/realistic/real/actual/
实在	shízài	/really/actually/indeed/true/real/honest/dependable/(philosophy) reality/
使	shǐ	/to make/to cause/to enable/to use/to employ/to send/to instruct sb to do sth/envoy/messenger/
使用	shǐyòng	/to use/to employ/to apply/to make use of/
是否	shìfǒu	/whether (or not)/if/is or isn't/
适合	shìhé	/to fit; to suit/
适应	shìyìng	/to adapt/to fit/to suit/
世纪	shìjì	/century/CL:個|个[ge4]/
收	shōu	/to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)/
收入	shōurù	/to take in/income/revenue/CL:筆|笔[bi3],個|个[ge4]/
收拾	shōushi	/to put in order/to tidy up/to pack/to repair/(coll.) to sort sb out/to fix sb/
首都	shǒudū	/capital (city)/CL:個|个[ge4]/
首先	shǒuxiān	/first (of all)/in the first place/
受不了	shòubuliǎo	/unbearable/unable to endure/can't stand/
受到	shòudào	/to receive (praise, an education, punishment etc)/to be ...ed (praised, educated, punished etc)/
售货员	shòuhuòyuán	/salesperson/CL:個|个[ge4]/
输	shū	/to lose; to be beaten/(bound form) to transport/(literary) to donate; to contribute/(coll.) to enter (a password)/
