沈朗天	Elliot Sanborn
精致的生活	Exquisite life
精致的晚餐	Exquisite dinner
普通	normal
住在Airbnb	stay at an airbnb
雕像	statue
神殿	shrine
精致	Exquisite
别致	unconventionally beautiful
鱼缸	Fish tank
火警	fire alarm
响	to go off/ to ring
乡郊野外	Countryside
面团	Dough
揉面团	Knead dough
垫子	mat
暖和	warm
浴袍	Bathrobe
落地窗	Floor -to -ceiling window
窗帘	curtain
隐私	privacy
坍塌	Collapse
偶像	Idol
我的偶像塌房了	my idol's image is completely destroyed
保护	Protect
对...讲究	pay close attention to/ have high standards for sth
奇特	unique (strange)
提到	Mention
煤气	(coal) gas
大陆	mainland (China)
籍贯	registered birthplace, one's native place, place of ancestry
口味	taste
日剧	Japanese drama
墓碑	tombstone
棺材	coffin
卡车	truck
理论	theory
村子	Village
特色	feature (of smth)
存在	exist/ existence
堕落	fallen?
堕落天使 	Fallen angel
安身立命	settle down
打工	work to earn a living
三文鱼	salmon
沟通	communicate
欧美	European and American
丹麦	Denmark
守旧	conservative
传统	Tradition
荒凉	desolate
知识	Knowledge
游乐园	amusement park
影响	influence, effect, to influence, to affect (usually adversely), to disturb
野人	savage (pejorative, don't use)
野兽	wild beast
首饰	jewelry
洗手液	handwashing fluid
玫瑰花	Rose
明显	obvious
搅拌	Stir
公寓	apartment
酒香不怕巷子深	lit. "aroma of wine is not afraid of deep alleys", if your wine tastes good it doesn't matter the location of your store, quality goods need no advertising
阿根廷	Argentina
拉斯维加斯	Las Vegas
武术	Martial arts
冒险	adventure
奇妙	wonderful
新鲜感	freshness (newness?)
分享	to share
剪羊毛	to shear sheep
学武术	to learn martial arts
师父	master (e.g. of martial arts)
市场	market
立体	three-dimensional
祖宗	ancestors
中风	stroke
钟头	an hour
虚弱	weak, frail, feeble
一代人/ 几代人	people of one generation/ a couple of generations
淡水	freshwater
骨肉相连	telepathic because of kinship
骨肉	孩子/“flesh and blood”
胡说八道	to talk nonsense "without foundation or justification"
乱说乱动	to speak and act in an irresponsible way
成人	adult
祖先	ancestors
搞乱	make a mess
假如	if
母子一场	mother-son relationship
享受	to enjoy
风景	landscape
名胜古迹	places of interest, historical sites and scenic spots
日料	Japanese food
天然	natural
自然	natural; naturally
依附关系	dependence
忍着	to endure
强令	to force (sm to do smth)
闪婚	 blitz marriage
闪离	 blitz divorce
岁数	age
保姆	nanny
正确	correct, proper
答案	answer
判断	judge/ judgement
嘹亮	loud and clear
石家庄	Shijiazhuang (capital of Hebei province)
胡言乱语 	crazy and unfounded ramblings, incoherent speech
曾经	once (in the past)
陌生	strangeness
陌生人	stranger
体谅	empathise
觉悟	consciousness
瞎扯蛋	to talk irresponsibly/nonsense (vulgar), lit. "to pull on your testicles aimlessly", 吓扯蛋 is a homonym/Internet meme
荆棘	thorn
尊重	respect
解释	explain
遗传	genetics
发生矛盾	Conflict
情绪	emotion
包括你说的	Including what you say
判了一个案子	Judging a case
子女	child
抚养	raise (a child)
法官判决	judge's decision
崩溃	collapse
博士	PhD
不管穷富	no matter rich or poor
不论	regardless of
你缺什么	What are you missing
病床	hospital bed, sickbed
存起来	save
相处	get along
困难	difficulty
祖传	Handed down from one's ancestors
细致	meticulous
心心相印	heart to heart
祝福	bless
亲密	close
亲密关系	Intimate relationship
怀疑	Suspect
法律责任	legal liability
拒绝	reject
理由	reason
撒谎	lie
痛快	happy/joyful/content, or straightforward
承诺书 	Commitment 
承诺	promise
疲劳	fatigue
谁都不用见	Don't have to see anyone
安身立命之本	The essence of life
合作	cooperate
素食	vegetarian
纯素食	vegan
手腕	wrist
薅羊毛	get the best deal
优惠券	coupon
注册	register
邮箱	Mail
打折	(things) have a discount
打八折	20 % off
主角	main character
咒语	spell/ incantation
祖传秘方	a secret ingredient/ cooking method Handed down from one's ancestors
她对我工作有很重要的影响	She has a very important impact on my work
特色菜	Featured dishes
是他的损失	It's his loss
精神	Spirit
打广告	to advertise
报告	Report
观点	View
似乎	seem
神圣性	sacredness/sanctity
纯洁性	Purity
承诺	promise
高低起伏 	ups and downs 
定义	definition
包含	Include
付出	pay
截图	screenshot
消息	information
安排	arrange
直播	live streaming
醉	drunk
同事	colleague
你搞得我很乱	you confuse me
提前	in advance
取消	Cancel
我们朋友一场，你需要帮忙直接跟我说。	We're friends after all, tell me directly whenever you need help
寿司	sushi
因果关系	causation
预约	reserve/ book/ schedule
接受	accept
拒绝	reject
打疫苗	get vaccine
批判	criticism / to criticize (serious)
审判	Trial
判决	verdict
我们互相体谅	We are considerate of each other
我同意（你说的话）	I agree (what you said)
不找对象	not looking for a boyfriend/ girlfriend
在一段关系里面	In a relationship
被刺激到了	get triggered
邮件	email
母女一场	mother-daughter relationship
比起	Compare
大自然	Nature
独立	independent
不合理	unreasonable
年纪轻轻	Young
批判一个政客	Criticize a politician
政客	politician
棘手	thorny/ knotty
互相尊重	mutual respect
尊重私人空间	respect one's personal space
一下子给他们太多信息	overwhelm them with too much information
遗传病	hereditary disease
肾	kidney
辞职	quit one's job
矛	spear
盾	shield
矛盾	contradiction/ contradictory
我做你的后盾	I have your back
抚养权	custody
知识渊博	Knowledgeable
抑郁症	depression
占星	astrology
躲开	Avoid
诅咒	curse
